

current_Date Zarya_elimperlife Zarya_weaponAcc Zarya_gamewon Zarya_multikill Zarya_objkill Zarya_winper orisa_gamewon orisa_weaponAccu orisa_multikills orisa_objkill orisa_winper orisa_elimperlife dva_gamewon dva_weaponAccu dva_multikills dva_objkill dva_winper dva_elimperlife sig_gamewon sig_weaponAccu sig_multikills sig_objkill sig_winper sig_elimperlife

2020-10-12 4.43 34% 33 4 475 49% 3 27% 0 49 55% 2.95 3 18% 3 57 31% 4.76 31 0 3 461 45% 3.58
2020-10-12 4.43 34% 33 4 475 49% 3 27% 0 49 55% 2.95 3 18% 3 57 31% 4.76 31 0 3 461 45% 3.58
2020-10-15 4.51 34% 33 4 493 49% 3 27% 0 49 55% 2.95 3 18% 3 57 31% 4.76 31 0 3 461 45% 3.58
2020-10-18 4.52 34% 34 4 509 48% 4 26% 0 71 54% 3.67 4 18% 3 63 34% 4.84 31 0 3 473 44% 3.53
2020-10-23 4.42 34% 34 4 514 48% 4 25% 0 78 58% 3.67 4 18% 3 63 34% 4.84 31 0 3 473 44% 3.5
